Tag;English_Source
ScenarioBox_FOTU_Title;Fear of the Unknown
ScenarioBox_FOTU_Content;Retrieve the <b>Fear of the Unknown</b> Scenario Box. Keep its contents concealed until you are instructed to retrieve specific components.<br><br><sprite=ScenarioBox3D_Fear>
ScenarioBox_FOTU_Content0;<link=0>Click here once you have the Scenario Box...</link>
Prologue_FOTU_Title;Prologue
Prologue_FOTU_Content;As the descendants of a visionary, yet deeply misunderstood scientist, you have inherited estates on the outskirts of <b>{{0=TownName}}</b>. The townsfolk eye your work with a mixture of awe and dread, whispering of unnatural experiments behind closed shutters.<br><br>In this remote corner of the world, superstition and ambition collide. Will you illuminate the darkness with reason, or be consumed by the fear of the unknown?
FearoftheUnknownStart_SubTitle;The Whispering Winds
FearoftheUnknownStart_Content;<b>Journal of {{0=RandomName}} - <i>{{1=Date}}</i></b><br><br>The superstitious nature of the residents of {{2=TownName}} has grown worse over the past few weeks. Whispered rumors of curses, dark magic, and unnatural beasts have sent the townsfolk into a state of near hysteria.<br><br>While their petty fears are beneath a person of science, we must tread carefully. An agitated populace is easily swayed to violence, and our laboratories are prime targets for their misplaced wrath.
ManiaSpecial_Title;Whispers of Fate
ManiaSpecial_Content;<b>Journal of {{0=RandomName}} - <i>{{1=Date}}</i></b><br><br>Amidst the mounting paranoia, our family legacies beckon. Each of us seeks to carve our name into history, whether through public acclaim, groundbreaking research, embracing the madness of genius, or indulging our darker impulses.
ManiaSpecial_0_Content;Place 1 <icon=StorybookToken> on the <b>10VP</b> space of the Victory Point track.<br><br>Place 1 <icon=StorybookToken> on space 2 of the <b>Research Track</b>.<br><br>Place 1 <icon=StorybookToken> on space 3 of the <b>Insanity Track</b>.<br><br>Place 1 <icon=StorybookToken> on space 3 of the <b>Creepy Track</b>.
Mania_Setup_Content;Turn to page <b>1</b> of the Village Chronicle.<br><br>Place the Suspicion Marker on space <b>{{0=Tracker}}</b> and the <icon=AngryMob_Icon> token one space to the left.<br><br>Give the Starting Player Marker <icon=StartPlayerToken> to <b>{{1=RandomName}}</b>.
Mania_Title;A Gripping Paranoia
Mania_Paranoia_Title;PARANOIA - Town Hall
Mania_Paranoia_Content;Due to the rampant paranoia gripping the village, the <b>Town Hall</b> action space has been altered on the Village Chronicle.
Mania_FamilyPlot_Title;<icon=StorybookToken> <b>Family Plot</b>
Mania_FamilyPlot_Content;When a player visits the <b>Cemetery</b> and takes the <b>Family Plot</b> action:
Mania_Fp10vp_Title;<icon=StorybookToken> <b>10VP</b>
Mania_Fp10vp_Content;When a player reaches or exceeds <b>10VP</b> on the Victory Point track:
Mania_FpResearch2_Title;<icon=StorybookToken> <b>Research Level 2</b>
Mania_FpResearch2_Content;When a player reaches space 2 of any <b>Research Track</b>:
Mania_FpSanity3_Title;<icon=StorybookToken> <b>Insanity of 3</b>
Mania_FpSanity3_Content;When a player's <b>Insanity Marker</b> <icon=Insanity_Icon> reaches or exceeds space 3:
Mania_FpCreepy3_Title;<icon=StorybookToken> <b>Creepy</b>
Mania_FpCreepy3_Content;When a player's <b>Creepy Marker</b> <icon=Creepy_Icon> reaches or exceeds space 3:
Mania_SecondRoundEvent_Title;Second Round Event
Mania_SecondRoundEvent_Content;At the end of the Middle Years, a special town event will occur.
PlotPlayerCheckin_Title;Visiting the Cemetery
PlotPlayerCheckin_Content;Which player is claiming the <b>Family Plot</b> at the Cemetery?
GainFamilyPlot_Title;Securing the Ancestral Grounds
GainFamilyPlot_Content;{{0=LetterHeader}}<br><br>I have paid the necessary fees to the parish sexton to secure our family's ancestral burial plot. Though the townsfolk mutter that we are disturbing hallowed ground for our own macabre purposes, the deed is signed and sealed. Come the end of this generation, our estate will have exclusive rights to those grounds.
Fp10vp_Title;Public Acclaim
Fp10vp_Content;Which player reached <b>10VP</b>?
FP10VPsignin_Title;A Pillar of the Community
FP10VPsignin_Content;{{0=JournalHeader}}<br><br>My early philanthropic efforts and visible achievements have garnered the admiration of the local gentry. Even in these fearful times, prestige opens doors that would otherwise remain firmly barred.
FP10VPsignin_0_Content;Remove the <icon=StorybookToken> from that space and return it to the box.<br><br><b>Gain 1VP.</b>
FpResearch2_Title;Academic Breakthrough
FpResearch2_Content;Which player reached <b>Research Level 2</b>?
FPResearch2signin_Title;Unraveling the Mysteries
FPResearch2signin_Content;{{0=JournalHeader}}<br><br>Our tireless hours in the study have yielded promising foundational theories. While the superstitious villagers cower at shadows, my command of scientific methodology grows ever sharper.
FpSanity3_Title;Whispers in the Mind
FpSanity3_Content;Which player reached <b>3 on the Insanity Track</b>?
FPSanity3signin_Title;Fevered Visions
FPSanity3signin_Content;{{0=JournalHeader}}<br><br>They call it madness, yet my sleepless nights have pierced the veil of ordinary perception! What lesser minds dismiss as ravings are the very blueprints of a higher, terrifying truth.
FpCreepy3_Title;Dread Reputation
FpCreepy3_Content;Which player reached <b>3 on the Creepy Track</b>?
FPCreepy3signin_Title;Feared by All
FPCreepy3signin_Content;{{0=JournalHeader}}<br><br>The villagers cross the street when my carriage passes, making signs to ward off the evil eye. Good. Let their fear keep them far from my gates while I pursue my work undisturbed.
FPNo_Title;Fate Already Sealed
FPNo_Content;<b>Journal of {{0=TempName}} - <i>{{1=Date}}</i></b><br><br>I have already set my course for this generation, yet my restless ambition continues to draw unsettling attention from the townsfolk.
FPNo_0_Content;Leave the <icon=StorybookToken> on that space so another player may claim it.<br><br><b>Gain 1 <icon=Creepy_Icon>.</b>
FP1OverBonus_Title;Unrivaled Ambition
FP1OverBonus_Content;{{0=JournalHeader}}<br><br>Though every family has already claimed their destiny in these troubled times, this latest triumph further cements our superiority.
FP1OverBonus_0_Content;Remove the <icon=StorybookToken> from that space and return it to the box.<br><br><b>Gain 3VP.</b>
S4Kill1_Title;Blood on the Cobblestones
S4Kill1_Content;<b>Journal of {{0=RandomName}} - <i>{{1=Date}}</i></b><br><br>A grisly murder has shattered what little peace remained in the village! Last night, a mutilated corpse was discovered near the town square. Within hours, an angry mob formed, demanding blood for blood.<br><br>Two prominent tradesmen - the <b>Blacksmith</b> and the <b>Butcher</b> - have accused one another of dark witchcraft and butchery. The town council has called an emergency tribunal to decide which man will hang.
S4Kill2_Title;The Tribunal
S4Kill2_Content;Retrieve the <b>Yay</b> and <b>Nay</b> Voting tokens from the Scenario box. Each player takes 1 Yay and 1 Nay token.<br><br>Players will now vote secretly on who is guilty:<br>- Vote <b>YAY</b> to execute the <b>Blacksmith</b>.<br>- Vote <b>NAY</b> to execute the <b>Butcher</b>.<br><br>Select your token secretly and reveal simultaneously. The Starting Player breaks any ties.
S4Kill3_Title;The Verdict
S4Kill3_Content;What did the tribunal decide?
S4Kill3_Content0;<link=0>Vote YAY - Execute the Blacksmith</link><br><link=1>Vote NAY - Execute the Butcher</link>
TwoPS4Kill2_Title;The Tribunal
TwoPS4Kill2_Content;Players will now bid money secretly to sway the town tribunal:<br>- One player bids to execute the <b>Blacksmith</b>, and the other bids to execute the <b>Butcher</b> (if both players agree, no money needs to be bid).<br>- Reveal bids simultaneously. The highest bidder pays their bid to the supply and decides the outcome (the Starting Player breaks ties).
TwoPS4Kill2b_Title;The Verdict
TwoPS4Kill2b_Content;Who was condemned by the tribunal?
TwoPS4Kill2b_Content0;<link=0>Execute the Blacksmith</link><br><link=1>Execute the Butcher</link>
S4Blacksmith_Title;The Blacksmith Condemned
S4Blacksmith_Content;<b>Newsprint - {{0=NewspaperName}} - <i>{{1=Date}}</i></b><br><br>Justice has been served! The village tribunal found the Blacksmith guilty of heinous crimes and dark sorcery. As he was led to the gallows, he cursed the Butcher and swore that the village had condemned an innocent man.<br><br>In recognition of his vigilance, <b>The Butcher</b> has been appointed as the new Town Warden.
S4Blacksmith_0_Content;Return all Voting tokens to the Scenario box.<br><br>Each player who voted <b>NAY</b> gains <b>1 <icon=Gears_Icon></b>.
S4Butcher_Title;The Butcher Condemned
S4Butcher_Content;<b>Newsprint - {{0=NewspaperName}} - <i>{{1=Date}}</i></b><br><br>Justice has been served! The village tribunal found the Butcher guilty of grisly murders and foul devilry. As the noose tightened, he spat blood and warned that dark forces still walk among us.<br><br>In recognition of his strength, the Blacksmith - now dubbed <b>The Bloodsmith</b> - has been appointed as the new Town Warden.
S4Butcher_0_Content;Return all Voting tokens to the Scenario box.<br><br>Each player who voted <b>YAY</b> gains <b>1 <icon=Animal_Icon></b>.
Mania3_Setup_Content;Turn to page <b>{{0=PageNum}}</b> of the Village Chronicle.
Mobbed2_Title;Consecrated Inheritance
Mobbed2_Content;{{0=JournalHeader}}<br><br>As the generation draws to a close, the deeds to the cemetery plots we secured have been formally annexed to our estates, granting our heirs direct access to fresh specimens.
Mobbed2_0_Content;The following players gain a <b>Family Plot</b> Estate Upgrade from the Scenario box and place it on their Estate board: <b>{{0=Holders}}</b>.
Mania_EndGen_Popup_Content;Perform all normal End of Generation steps.<br><br>Remove all player pieces from the Village Chronicle.{{0=?|<br><br>Return any remaining <icon=StorybookToken> on the board to the Scenario box.}}
S4Witch1_Title;{{0=?|Flames of Hysteria|Paranoia Fades}}
S4Witch1_Content;{{0=Header}}<br><br>{{1=?|With the Butcher's execution and rumors of a witch coven still festering in the shadows, the village has descended into full-blown hysteria! Neighbors accuse neighbors, and the new generation inherits a town consumed by hexes and suspicion.|With the Blacksmith executed and the Butcher maintaining iron order as Warden, the fever of witch-hunting has gradually subsided. Yet whispers of unnatural creatures lurking in the dark forests have begun to take its place.}}
S4Witch2_Title;{{0=?|More Secrets to Quell|A Return to Civility}}
S4Witch2_Content;{{0=Header}}<br><br>{{1=?|Because the ancestral burial grounds were left untouched, the villagers remain convinced that secret covens are operating within the town walls. Paranoia festers into a new era of hexes and witch trials.|With the cemetery plots quietly annexed to the estates, the public hysteria over witches has largely dissipated, replaced instead by eerie sightings of monstrous creatures prowling the countryside.}}
ForeignIntro_SubTitle;Hexes and Hysteria
ForeignIntro_Content;{{0=JournalHeader}}<br><br>Years have passed, yet the shadow of witchcraft looms larger than ever over the town. Someone is leaving wicked hexes upon the town's landmarks in the dead of night, fueling a wave of xenophobia and suspicion against outsiders and estate holders alike.
CommemorativeIntro_Title;Fortifying the Town
CommemorativeIntro_Content;<b>Newsprint - {{0=NewspaperName}} - <i>{{1=Date}}</i></b><br><br>In response to the growing threat of foreign vagabonds and occultists, the town council has begun selling commemorative <b>Memorial Bricks</b> to fund public security works. Citizens who contribute generously to the cause will be honored with the prestigious <b>Key to the City</b>!
CommemorativeIntro_0_Content;Retrieve the <b>Memorial Brick</b> tokens and the <b>Key to the City</b> token from the Scenario box and place them near the board.
RevengePlot35_Title;Pressing Forward
RevengePlot35_Content;Hand the Storybook to the player with the <b>least Victory Points</b> (if tied, the player furthest in turn order).
RevengePlot35_Content0;<link=0>Click here once you have the Storybook...</link>
RevengePlot35_0_Content;Secretly choose whether the <b>35VP milestone</b> this generation will bring <b>Fortune</b> or <b>Misfortune</b> to the town's suspicion:
RevengePlot35_0_Content0;<link=0>Choose Fortune (Calm the Town)</link><br><link=1>Choose Misfortune (Stoke the Paranoia)</link>
RevengePlotFortune_Title;A Hopeful Omen
RevengePlotFortune_Content;<b><i>{{0=Date}}</i></b><br><br>You have quietly arranged for a display of goodwill when our estates reach the pinnacle of prominence.
RevengePlotMisfortune_Title;A Dark Omen
RevengePlotMisfortune_Content;<b><i>{{0=Date}}</i></b><br><br>You have quietly arranged to stoke the town's paranoia when our estates reach the pinnacle of prominence.
RevengePlot_Setup_Content;Place 1 <icon=StorybookToken> on the <b>35VP</b> space of the Victory Point track.
WitchIntro_Title;The Deadly Witching Game
WitchIntro2_Title;A Game of Hexes
WitchIntro2_0_Content;Retrieve the <b>Witch's Hex</b> token <icon=S2_WitchHexToken> from the Scenario box.<br><br>Turn to page <b>{{0=PageNum}}</b> of the Village Chronicle.
Witchwolf1a_Title;The Witching Hour
Witchwolf1a_Content0;<link=0>Click here once you have the Storybook in secret...</link>
Witchwolf1b_Title;The Witching Hour
Witchwolf1b_Content0;<link=0>Click here once you have the Storybook in secret...</link>
Witchwolf1c_Title;The Witching Hour
Witchwolf1c_Content0;<link=0>Click here once you have the Storybook in secret...</link>
Witchwolf1d_Title;The Witching Hour
Witchwolf1d_Content0;<link=0>Click here once you have the Storybook in secret...</link>
Witchwolf1e_Title;The Witching Hour
Witchwolf1e_Content0;<link=0>Click here once you have the Storybook in secret...</link>
Witchwolf1Hex_Content;Place the <b>Witch's Hex</b> token <icon=S2_WitchHexToken> on the <b>{{0=HexLocation}}</b>.
Foreign_Title;Hexes and Hysteria
Foreign_WitchingHour_Title;<icon=S2_WitchHexToken> <b>The Witching Hour</b>
Foreign_RumorMill_Title;<icon=StorybookToken> <b>The Rumor Mill - Church</b>
Foreign_RumorMill_Content;{{0=?|Because the <b>Church</b> has been Hexed (<icon=S2_WitchHexToken>), the parish priest is too terrified to share rumors this round!|When a player visits the <b>Church</b>, in addition to its normal effect, they may inspect the Rumor Mill to see which locations each suspect was seen near:}}
Foreign_RumorMill_ClickHere;Click here when visiting the Church to inspect the Rumor Mill.
Foreign_TownStrength_Title;<b>Strength of the Town - Town Hall</b>
Foreign_TownStrength_Content;Players may purchase <b>Memorial Bricks</b> at the Town Hall to compete for the <b>Key to the City</b>.
Foreign_KeyToTheCity_Title;<b>Key to the City</b>
Foreign_KeyToTheCity_Content;At the end of the Generation, the player with the most <b>Memorial Bricks</b> will claim the <b>Key to the City</b> and bonus Victory Points.
Foreign_BankLib_Title;<b>Bank and Library</b>
Foreign_BankLib_Content;For an explanation of the updated Bank and Library spaces:
Foreign_Accusations_Title;<b>Second Round Event - Accusations</b>
Foreign_Accusations_Content;At the end of the Middle Years, the players will convene to accuse and unmask the Witch!
Foreign_PressingForward_Title;<icon=StorybookToken> <b>Pressing Forward - 35VP</b>
Foreign_PressingForward_Content;When any player reaches or exceeds <b>35VP</b> on the Victory Point track:
CheckW1_Title;The Rumor Mill
CheckW1_Content;Which player is visiting the <b>Church</b> to investigate the rumors?
CheckWitches1_Title;Whispers in the Confessional
CheckWitches1_Content;Hand the Storybook to <b>{{0=PlayerName}}</b>. Do not allow other players to see the screen.
CheckWitches1_Content0;<link=0>Click here to view the priest's notes...</link>
CheckWitches1_0_Content;According to the parish informants, each suspect was seen lingering near the following location before the hex was cast:<br><br>{{0=Report}}<br><br><i>(Remember this information and return the Storybook.)</i>
CheckW2_Title;The Rumor Mill
CheckW2_Content;Which player is visiting the <b>Church</b> to investigate the rumors?
CheckWitches2_Title;Whispers in the Confessional
CheckWitches2_Content;Hand the Storybook to <b>{{0=PlayerName}}</b>. Do not allow other players to see the screen.
CheckWitches2_Content0;<link=0>Click here to view the priest's notes...</link>
CheckWitches2_0_Content;According to the parish informants, each suspect was seen lingering near the following location before the second hex was cast:<br><br>{{0=Report}}<br><br><i>(Remember this information and return the Storybook.)</i>
TownHallExplanation_Title;Memorial Bricks
TownHallExplanation_Content;When visiting the <b>Town Hall</b>, players may pay the listed cost to purchase <b>Memorial Bricks</b> from the supply.<br><br>Keep your Memorial Bricks in front of you. At the end of the Generation, the player with the most bricks will receive the <b>Key to the City</b> and bonus Victory Points!
BankLibExplain_Title;Bank and Library
BankLibExplain_Content;The <b>Bank</b> and <b>Library</b> locations provide enhanced resources and knowledge opportunities on the current Village Chronicle page.
Fortune35_Title;A Beacon of Hope
Fortune35_Content;{{0=JournalHeader}}<br><br>Our family's prestigious achievements have reassured the panicked citizens that enlightened leadership still prevails in these dark times.
Fortune35_0_Content;Remove the <icon=StorybookToken> from the <b>35VP</b> space and return it to the box.<br><br>Move the <b>Suspicion Marker</b> 1 space to the <b>right</b> (away from the <icon=AngryMob_Icon> token).
Misfortune35_Title;Envy and Dread
Misfortune35_Content;{{0=JournalHeader}}<br><br>Our surging prominence has only inflamed the townsfolk's darkest suspicions that our success was bought through a pact with the wicked!
Misfortune35_0_Content;Remove the <icon=StorybookToken> from the <b>35VP</b> space and return it to the box.<br><br>Move the <b>Suspicion Marker</b> 1 space to the <b>left</b> (toward the <icon=AngryMob_Icon> token).
WallEvent_Title;The Border Crisis
WallEvent_Content;<b>Newsprint - {{0=NewspaperName}} - <i>{{1=Date}}</i></b><br><br>Fear of foreign covens and traveling vagabonds has sparked a heated debate in {{2=TownName}}! A faction of hardliners demands that the Memorial Bricks be used immediately to erect a massive fortified wall around the town perimeter, while moderates urge acceptance and open trade.
WallEvent1_Title;A Vote on the Wall
WallEvent1_Content;The town council calls upon the prominent estates to decide the town's policy:<br>- Choose <b>Strength</b> to support building the perimeter wall (Memorial Bricks will become more valuable).<br>- Choose <b>Acceptance</b> to oppose the wall and keep the roads open.<br><br>Discuss and decide as a group (the Starting Player breaks any ties).
WallEvent1b_Title;The Council's Decision
WallEvent1b_Content;Which policy did the estates support?
WallEvent1b_Content0;<link=0>We chose Strength (Build the Wall)</link><br><link=1>We chose Acceptance (Keep Roads Open)</link>
WallEvent2_Title;{{0=?|Foundations of Stone|An Uneasy Openness}}
WallEvent2_0_Content;{{0=?|Each player who currently owns at least 1 <b>Memorial Brick</b> gains <b>1VP</b> per brick they own.|Each player who currently owns <b>0 Memorial Bricks</b> gains <b>2VP</b>.}}
Witchwolf2a_Title;The Second Hex
Witchwolf2a_Content0;<link=0>Click here once you have the Storybook in secret...</link>
Witchwolf2b_Title;The Second Hex
Witchwolf2b_Content0;<link=0>Click here once you have the Storybook in secret...</link>
Witchwolf2c_Title;The Second Hex
Witchwolf2c_Content0;<link=0>Click here once you have the Storybook in secret...</link>
Witchwolf2d_Title;The Second Hex
Witchwolf2d_Content0;<link=0>Click here once you have the Storybook in secret...</link>
Witchwolf2e_Title;The Second Hex
Witchwolf2e_Content0;<link=0>Click here once you have the Storybook in secret...</link>
Witchwolf2Hex_Content;Move the <b>Witch's Hex</b> token <icon=S2_WitchHexToken> to the <b>{{0=HexLocation}}</b>.
Witchwolfresolution_Title;The Night of Accusations
Witchres_Title;Pointing the Finger
Witchres1_Title;The Accused
Witchres1_Content;Who did the group accuse of being the Witch?
